unit_sizing_case,demand_kW,unit_capacity_kW,units_reqd,units_installed,unit_reliability_pct,unit_schedule_outage_hrs,system_capacity_kW,redundant_units,system_availability,tier_level
unit_size_2,240000.0,120000.0,2,2,97.0,400.0,240000.0,0,85.49730593607305,Tier NA
unit_size_2,240000.0,120000.0,2,3,97.0,400.0,360000.0,1,98.96205753424658,Tier NA
unit_size_2,240000.0,120000.0,2,4,97.0,400.0,480000.0,2,99.94304245205478,Tier 2
unit_size_2,240000.0,120000.0,2,5,97.0,400.0,600000.0,3,99.99728469260273,Tier 4
unit_size_2,240000.0,120000.0,2,6,97.0,400.0,720000.0,4,99.99988138326712,Tier 4
unit_size_2,240000.0,120000.0,2,7,97.0,400.0,840000.0,5,99.99999511797022,Tier 4
unit_size_3,240000.0,80000.0,3,3,97.0,400.0,240000.0,0,78.7649301369863,Tier NA
unit_size_3,240000.0,80000.0,3,4,97.0,400.0,320000.0,1,97.98107261643837,Tier NA
unit_size_3,240000.0,80000.0,3,5,97.0,400.0,400000.0,2,99.86167909123289,Tier 2
unit_size_3,240000.0,80000.0,3,6,97.0,400.0,480000.0,3,99.99209131127398,Tier 3
unit_size_3,240000.0,80000.0,3,7,97.0,400.0,560000.0,4,99.99959704650936,Tier 4
unit_size_3,240000.0,80000.0,3,8,97.0,400.0,640000.0,5,99.99998104917329,Tier 4
unit_size_4,240000.0,60000.0,4,4,97.0,400.0,240000.0,0,72.35954931050227,Tier NA
unit_size_4,240000.0,60000.0,4,5,97.0,400.0,300000.0,1,96.72733496657534,Tier NA
unit_size_4,240000.0,60000.0,4,6,97.0,400.0,360000.0,2,99.73126687119178,Tier 1
unit_size_4,240000.0,60000.0,4,7,97.0,400.0,420000.0,3,99.98208366429341,Tier 3
unit_size_4,240000.0,60000.0,4,8,97.0,400.0,480000.0,4,99.99895704206956,Tier 4
unit_size_4,240000.0,60000.0,4,9,97.0,400.0,540000.0,5,99.99994482801743,Tier 4
unit_size_5,240000.0,48000.0,5,5,97.0,400.0,240000.0,0,66.26760289648401,Tier NA
unit_size_5,240000.0,48000.0,5,6,97.0,400.0,288000.0,1,95.2253690142671,Tier NA
unit_size_5,240000.0,48000.0,5,7,97.0,400.0,336000.0,2,99.54315427636554,Tier NA
unit_size_5,240000.0,48000.0,5,8,97.0,400.0,384000.0,3,99.96521028651729,Tier 2
unit_size_5,240000.0,48000.0,5,9,97.0,400.0,432000.0,4,99.99772230963468,Tier 4
unit_size_5,240000.0,48000.0,5,10,97.0,400.0,480000.0,5,99.99986614665849,Tier 4
